,naive_TH,CD137pos_CD154neg_naive_TH,CD137neg_CD154pos_naive_TH,CD137pos_CD154pos_naive_TH,memory_TH,CD137pos_CD154neg_memory_TH,CD137neg_CD154pos_memory_TH,CD137pos_CD154pos_memory_TH,naive_TFH,CD137pos_CD154neg_naive_TFH,CD137neg_CD154pos_naive_TFH,CD137pos_CD154pos_naive_TFH,memory_TFH,CD137pos_CD154neg_memory_TFH,CD137neg_CD154pos_memory_TFH,CD137pos_CD154pos_memory_TFH,CD45RApos_Treg,CD137pos_CD154neg_CD45RApos_Treg,CD137neg_CD154pos_CD45RApos_Treg,CD137pos_CD154pos_CD45RApos_Treg,CD45RAneg_Treg,CD137pos_CD154neg_CD45RAneg_Treg,CD137neg_CD154pos_CD45RAneg_Treg,CD137pos_CD154pos_CD45RAneg_Treg,CD45RApos_TFR,CD137pos_CD154neg_CD45RApos_TFR,CD137neg_CD154pos_CD45RApos_TFR,CD137pos_CD154pos_CD45RApos_TFR,CD45RAneg_TFR,CD137pos_CD154neg_CD45RAneg_TFR,CD137neg_CD154pos_CD45RAneg_TFR,CD137pos_CD154pos_CD45RAneg_TFR
H30_NC_Time_Point_365_CD4 T cells.fcs,221571,108,104,6,207844,95,87,14,9053,3,3,2,34641,14,17,0,5494,3,3,0,14223,7,8,0,648,0,0,0,673,0,0,0
H30_HBsAg_Time_Point_365_CD4 T cells.fcs,192446,92,100,2,179782,77,48,9,9488,4,4,1,31591,17,16,4,4576,0,3,0,11442,7,7,0,662,0,1,0,722,3,0,0
H31_NC_Time_Point_365_CD4 T cells.fcs,210677,98,100,8,173407,76,73,8,6713,3,3,0,21059,11,11,0,8764,4,4,0,12472,5,5,1,400,0,0,0,321,0,0,0
H31_HBsAg_Time_Point_365_CD4 T cells.fcs,264985,152,146,6,222129,209,144,21,7699,1,6,0,27248,15,12,5,11238,2,25,0,14715,28,47,1,521,1,0,0,378,5,2,1
H32_NC_Time_Point_365_CD4 T cells.fcs,47930,22,21,3,328589,144,145,18,4638,2,2,0,97831,39,43,8,2321,1,1,0,16940,8,8,0,754,0,0,0,2073,1,1,0
H32_HBsAg_Time_Point_365_CD4 T cells.fcs,39372,27,29,3,267403,261,298,81,4063,9,2,0,75439,110,56,22,2118,12,3,1,14077,26,47,0,675,6,5,2,1825,1,3,0
H33_NC_Time_Point_365_CD4 T cells.fcs,181343,96,88,0,203647,89,86,12,11042,6,5,0,41042,16,18,2,9784,5,5,0,23798,11,13,0,1202,1,1,0,2191,1,1,0
H33_HBsAg_Time_Point_365_CD4 T cells.fcs,207315,114,71,3,231984,131,125,20,13440,7,10,0,48705,31,21,1,10516,13,6,0,25626,13,17,0,1597,1,2,0,2510,1,12,0
H34_NC_Time_Point_365_CD4 T cells.fcs,200683,98,99,2,62220,24,27,5,8456,4,4,0,6519,2,2,1,9118,4,4,1,8861,5,4,0,705,0,0,0,109,0,0,0
H34_HBsAg_Time_Point_365_CD4 T cells.fcs,246391,272,145,9,79984,53,118,7,10223,15,8,1,8467,2,7,0,11682,62,27,2,11008,9,22,0,927,35,1,1,167,0,1,0
H35_NC_Time_Point_365_CD4 T cells.fcs,297448,147,146,2,139909,62,65,4,7239,2,3,1,21101,10,10,1,7881,3,3,1,20772,10,10,0,674,0,0,0,729,0,0,1
H35_HBsAg_Time_Point_365_CD4 T cells.fcs,368973,104,205,13,183488,250,169,13,8178,3,10,0,24501,34,21,4,10807,3,52,2,26619,159,74,10,723,8,2,2,991,1,10,1
H36_NC_Time_Point_365_CD4 T cells.fcs,4.03E+05,197,190,6,127364,52,54,7,9271,5,5,0,21266,8,8,3,21552,11,11,0,17847,8,8,1,565,0,0,0,349,0,0,0
H36_HBsAg_Time_Point_365_CD4 T cells.fcs,4.20E+05,282,181,11,123440,70,68,11,10336,8,8,1,19073,8,13,3,21555,17,19,1,16464,26,16,0,727,0,2,0,339,7,0,0
H38_NC_Time_Point_365_CD4 T cells.fcs,195144,93,95,6,111741,50,49,6,7029,3,4,0,36612,15,14,4,3944,2,2,0,6220,3,3,0,492,0,0,0,429,0,0,0
H38_HBsAg_Time_Point_365_CD4 T cells.fcs,278555,233,114,13,165922,80,93,18,10703,15,16,2,44520,19,16,3,5541,3,6,0,8146,11,10,1,561,1,5,0,564,0,2,0
H39_NC_Time_Point_365_CD4 T cells.fcs,327430,151,150,11,121807,50,50,9,7519,3,3,1,12508,6,6,0,11578,5,5,1,15965,8,7,0,926,0,0,0,279,0,0,0
H39_HBsAg_Time_Point_365_CD4 T cells.fcs,386671,342,214,17,152770,131,115,8,8786,13,19,1,13874,19,9,2,13641,29,10,0,19293,18,23,1,904,18,1,0,360,0,1,0
H40_NC_Time_Point_365_CD4 T cells.fcs,263671,125,123,9,165451,61,71,17,6632,3,3,0,28026,11,11,4,11832,6,6,0,11921,5,6,0,555,0,0,0,482,0,0,0
H40_HBsAg_Time_Point_365_CD4 T cells.fcs,295513,232,222,12,196375,191,191,21,6697,7,5,1,27393,35,19,6,12496,62,44,4,13226,37,31,1,536,1,8,0,609,2,2,0
H41_NC_Time_Point_365_CD4 T cells.fcs,249636,116,120,5,107315,38,37,14,4458,2,2,0,10994,6,6,0,12845,6,6,0,15005,8,7,0,631,0,0,0,364,0,0,0
H41_HBsAg_Time_Point_365_CD4 T cells.fcs,232407,179,163,8,104040,73,148,17,4114,4,8,0,10682,4,11,0,11689,15,11,0,13836,8,18,0,605,8,2,2,397,0,3,0
H42_NC_Time_Point_365_CD4 T cells.fcs,93768,41,45,4,103196,40,41,11,3999,2,2,0,24785,9,9,4,3974,2,2,0,5581,3,3,0,421,0,0,0,381,0,0,0
H42_HBsAg_Time_Point_365_CD4 T cells.fcs,94907,99,23,0,113038,70,26,10,3773,0,5,1,23485,26,6,1,4295,13,8,0,6072,4,6,0,431,2,0,0,341,0,0,0
Mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
